study,subNb,uniqueID,IRV_STAI_State,IRV_STAI_State_z,IRV_STAI_Trait,IRV_STAI_Trait_z,IRV_SRS,IRV_SRS_z,SHR,SHR_z,Syn,Syn_z,Ant,Ant_z,BDI_Q1,LSAS_Q1,IRV_avg,catchQ_BDI,catchQ_SRS,catchQ_STAI,catchQ_Total,catchQ_Acc,excluded_catchQs,excluded_IRV_STAI_State,excluded_IRV_STAI_Trait,excluded_IRV_SRS,excluded_IRV_avg,excluded_SHR,excluded_Syn,excluded_Ant,excluded_na,excluded,excluded2
1,1,1,0.587142949,-1.265043207,0.587142949,-0.973835298,0.533493566,-1.532268349,0.981637178,0.400037321,0.596006913,-0.749220641,-0.301701345,0.591603276,0,2,-1.257048951,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,2,2,1.465390194,1.898867803,0.944513241,0.310276397,0.792088282,-0.097059959,0.986764213,0.677183749,0.91722602,1.242161726,-0.711801097,-0.764916432,0,2,0.704028081,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,3,3,1.332784975,1.42115368,0.825577947,-0.117084816,0.903252669,0.519905709,0.981453321,0.390098792,0.855264317,0.858033138,-0.595746292,-0.381032682,0,1,0.607991524,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,4,4,1.118033989,0.647507064,0.933302004,0.269991906,1.130222919,1.779597366,0.954967945,-1.041591735,0.709398044,-0.046257791,-0.045653678,1.438552596,0,0,0.899032112,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,5,5,0.680557047,-0.928516224,0.604805319,-0.910370437,1.032407567,1.236719246,0.883848333,-4.886025463,0.596276042,-0.747552187,-0.172827419,1.017889854,1,1,-0.200722472,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
1,6,6,0.604805319,-1.201414009,0.444261658,-1.487239853,0.640012019,-0.941087754,0.990906864,0.901118408,0.682966457,-0.210119139,0.075491689,1.839274802,0,3,-1.209913872,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,7,7,1.538967528,2.163932269,1.531253357,2.41856536,0.862409416,0.293224432,0.986054461,0.638817464,0.976337308,1.608619309,-0.957616284,-1.578018961,0,0,1.625240687,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,8,8,0.887041208,-0.184651084,0.788068926,-0.251863153,0.773043436,-0.202759421,0.963908878,-0.558281672,0.770047534,0.329735796,-0.787474084,-1.015226015,0,2,-0.213091219,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,9,9,0.510417786,-1.541447818,0.794719414,-0.227966454,0.773043436,-0.202759421,0.977086466,0.154044543,0.846346899,0.802750031,-0.521320163,-0.134847433,0,0,-0.657391231,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,10,10,1.231174023,1.055097296,0.656946685,-0.723014801,0.752559734,-0.316444576,0.977176731,0.158923884,0.829305122,0.697100361,-0.276556532,0.67477678,0,0,0.00521264,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,11,11,0.850696309,-0.315584631,0.833508753,-0.08858765,1.153381317,1.908127165,0.9709509,-0.177618942,0.570339597,-0.908343932,0.036336725,1.709758799,0,3,0.501318295,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,12,12,0.604805319,-1.201414009,0.74515982,-0.406045202,0.687106531,-0.679711809,0.986681111,0.672691589,0.830177907,0.702511145,-0.803550331,-1.068402702,0,0,-0.76239034,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,13,13,1.071152847,0.478616399,1.019545823,0.579885307,0.761766671,-0.265345801,0.984293214,0.543611693,0.53668013,-1.117014169,-0.426136217,0.180000111,2,2,0.264385301,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,14,14,0.988086934,0.179369055,0.786397516,-0.257868904,1.044675143,1.304804656,0.981490892,0.392129687,0.603416623,-0.703284499,-0.290974702,0.627084647,1,2,0.408768269,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,15,15,1.164157703,0.813669074,1.080935268,0.800471365,0.964514625,0.85991139,0.897837523,-4.129827404,0.826091877,0.677179998,-0.49856237,-0.059569663,0,0,0.824683943,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
1,16,16,1.031095483,0.334308591,1.23969436,1.370928426,0.949949391,0.77907391,0.976275109,0.110185947,0.804547381,0.543615937,-0.761852221,-0.930474531,3,1,0.828103642,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,17,17,0.967906042,0.106666808,0.911909506,0.193123856,0.810685844,0.006157069,0.984167414,0.536811488,0.889410467,1.069720544,-0.722409428,-0.800006456,0,0,0.101982578,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,18,18,0.510417786,-1.541447818,0.489360485,-1.325189644,0.558156306,-1.395389406,0.970377904,-0.208592722,0.456030768,-1.616996005,-0.042766966,1.448101203,1,2,-1.420675623,0,1,1,2,0.666666667,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,19,19,0.686332741,-0.907709121,1.00524938,0.528514979,0.768364897,-0.22872545,0.977480816,0.175361471,0.660905168,-0.346887036,-0.409060951,0.236481329,1,0,-0.202639864,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,20,20,0.680557047,-0.928516224,0.88257995,0.087736177,0.864080214,0.302497411,0.986179295,0.645565476,0.731966726,0.093655666,-0.753885455,-0.904122224,1,0,-0.179427546,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,21,21,1.538967528,2.163932269,1.399247918,1.944240184,0.625192278,-1.023337759,0.98650206,0.663012859,0.984408586,1.658656807,-0.920858278,-1.456431568,0,0,1.028278231,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,22,22,1.225818738,1.03580473,0.994722918,0.490691039,1.028909056,1.217302406,0.980150119,0.319653042,0.8789498,1.004870148,-0.730804936,-0.827776949,0,2,0.914599392,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,23,23,0.894427191,-0.158042869,0.801314709,-0.204268079,0.975172569,0.919063296,0.983128514,0.480652803,0.229360466,-3.022227611,0.144083344,2.066160898,1,1,0.185584116,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
1,24,24,1.182103388,0.878318923,1.353358396,1.779348827,0.556862778,-1.402568522,0.985419493,0.604493706,0.894390982,1.100597006,-0.781305481,-0.994821634,0,1,0.418366409,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,25,25,0.767771896,-0.614322219,0.788068926,-0.251863153,0.967749173,0.877863228,0.959556556,-0.7935503,0.788984772,0.447136293,-0.388578277,0.304233508,0,3,0.003892619,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,26,26,0.638666374,-1.079428583,0.604805319,-0.910370437,0.704723077,-0.581939452,0.984584135,0.559337688,0.756309959,0.244570367,-0.307432643,0.572645401,1,0,-0.857246157,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,27,27,0.801314709,-0.493483268,0.638666374,-0.788700065,0.580947502,-1.268897587,0.984280379,0.5429179,0.862597444,0.903494504,-0.684565583,-0.674827346,0,1,-0.850360306,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1,28,28,1.164157703,0.813669074,1.371706582,1.84527798,0.99831589,1.047509418,0.967182442,-0.381326282,0.855481194,0.859377656,-0.835303383,-1.173434807,2,1,1.235485491,1,1,1,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
