subNb,blockNb,condition,trialNb,trialNbBl,PcommonT,commonT,PrewOr,goalTok,boxPartner,isPartnercorr,tokPartner,isTokGoal,choiceLR,choiceColor,RT,isChoiceCorr,token,outcome,isMiss,chPartnerLR,isOrRew,rewMag
1,1,4,1,1,0.6,0,0.6,1,1,1,2,0,1,0,534,0,2,77,0,0,0,77
1,1,4,2,2,0.6,0,0.6,1,2,0,1,1,0,0,946,0,2,61,0,1,0,61
1,1,4,3,3,0.6,1,0.6,1,2,0,2,0,1,0,570,0,2,80,0,1,0,80
1,1,4,4,4,0.6,0,0.6,1,2,0,1,1,0,0,598,0,2,0,0,1,1,19
1,1,4,5,5,0.6,0,0.6,1,2,0,1,1,0,0,627,0,2,0,0,1,1,88
1,1,4,6,6,0.6,1,0.6,1,2,0,2,0,0,1,669,1,1,96,0,0,1,96
1,1,4,7,7,0.6,1,0.6,1,1,1,1,1,0,1,2801,1,1,58,0,1,1,58
1,1,4,8,8,0.6,1,0.6,1,1,1,1,1,1,1,557,1,1,69,0,1,1,69
1,1,4,9,9,0.6,1,0.6,1,1,1,1,1,0,1,1072,1,1,0,0,0,0,13
1,1,4,10,10,0.6,1,0.6,1,1,1,1,1,1,0,518,0,2,0,0,1,1,23
1,1,4,11,11,0.6,0,0.6,1,1,1,2,0,0,0,338,0,2,0,0,0,1,67
1,1,4,12,12,0.6,0,0.6,1,1,1,2,0,1,1,387,1,1,80,0,0,1,80
1,1,4,13,13,0.6,1,0.2,2,2,1,2,1,1,0,406,1,2,6,0,1,0,6
1,1,4,14,14,0.6,1,0.2,2,2,1,2,1,0,0,463,1,2,0,0,0,1,21
1,1,4,15,15,0.6,0,0.2,2,2,1,1,0,1,1,455,0,1,0,0,0,0,89
1,1,4,16,16,0.6,1,0.2,2,2,1,2,1,1,0,589,1,2,38,0,0,0,38
1,1,4,17,17,0.6,1,0.2,2,2,1,2,1,0,0,1389,1,2,54,0,0,0,54
1,1,4,18,18,0.6,1,0.2,2,2,1,2,1,1,0,643,1,2,8,0,0,0,8
1,1,4,19,19,0.6,1,0.2,2,2,1,2,1,1,0,541,1,2,0,0,1,1,35
1,1,4,20,20,0.6,0,0.2,2,2,1,1,0,1,1,531,0,1,0,0,0,0,31
1,2,3,21,1,0.6,0,0.4,2,1,0,2,1,0,0,476,1,2,49,0,0,0,49
1,2,3,22,2,0.6,0,0.4,2,1,0,2,1,1,0,802,1,2,55,0,0,0,55
1,2,3,23,3,0.6,1,0.4,2,1,0,1,0,0,1,683,0,1,51,0,1,1,51
1,2,3,24,4,0.6,1,0.4,2,2,1,2,1,0,0,624,1,2,52,0,0,0,52
1,2,3,25,5,0.6,1,0.4,2,2,1,2,1,0,0,2496,1,2,0,0,0,1,48
1,2,3,26,6,0.6,0,0.4,2,2,1,1,0,1,1,406,0,1,0,0,1,0,48
1,2,3,27,7,0.6,0,0.4,2,1,0,2,1,0,0,436,1,2,55,0,1,0,55
1,2,3,28,8,0.6,1,0.4,2,1,0,1,0,0,1,475,0,1,49,0,1,1,49
1,2,3,29,9,0.6,1,0.4,2,1,0,1,0,1,1,408,0,1,0,0,1,0,52
1,2,3,30,10,0.6,1,0.4,2,2,1,2,1,1,0,437,1,2,0,0,0,1,45
1,2,3,31,11,0.6,0,0.4,2,2,1,1,0,0,1,331,0,1,53,0,0,1,53
1,2,3,32,12,0.6,1,0.4,2,2,1,2,1,0,0,476,1,2,53,0,0,0,53
1,2,3,33,13,0.6,1,0.8,1,2,0,2,0,1,0,64,0,2,0,0,1,1,55
1,2,3,34,14,0.6,0,0.8,1,2,0,1,1,1,1,588,1,1,47,0,0,1,47
1,2,3,35,15,0.6,1,0.8,1,2,0,2,0,1,1,665,1,1,47,0,0,1,47
1,2,3,36,16,0.6,1,0.8,1,2,0,2,0,1,1,1861,1,1,0,0,0,0,50
